year,month,day,tempavg,DPavg,humidity,SLPavg,visibilityavg,windavg,Rainfall
2012,2,24,32.81,19.14,77.25,1005.51,6.82,14.99,95.32
2012,2,25,15.25,3.06,49.27,1003.33,10.53,7.76,0.0
2012,2,26,20.98,6.4,61.05,1022.24,6.84,15.0,55.01
2012,2,27,14.01,6.47,55.84,999.22,8.26,12.57,0.0
2012,2,28,29.89,16.36,93.16,995.6,12.96,5.45,8.27
2012,2,29,15.51,11.78,52.64,1009.97,17.27,7.76,0.0
2012,3,1,32.96,29.03,49.47,1048.68,3.64,8.55,0.0
2012,3,2,6.94,17.79,45.7,1018.62,7.08,12.9,0.0
2012,3,3,19.22,13.11,74.34,985.63,9.36,13.07,114.68
2012,3,4,24.82,4.41,34.55,1009.06,5.78,2.61,0.0
2012,3,5,9.15,11.4,56.26,1017.92,14.66,4.34,0.0
2012,3,6,20.92,3.21,96.48,986.51,7.02,1.86,65.04
2012,3,7,2.79,0.39,75.13,994.49,16.01,13.43,144.58
2012,3,8,26.03,6.4,72.08,1018.55,10.53,13.43,9.84
2012,3,9,20.04,28.12,79.5,985.33,11.04,3.69,157.8
2012,3,10,30.62,21.72,55.28,983.27,7.47,2.18,0.0
2012,3,11,15.2,10.18,37.36,1030.34,7.41,14.57,0.0
2012,3,12,10.77,14.79,40.17,1036.17,8.81,4.84,0.0
2012,3,13,20.12,5.7,66.54,1000.58,13.72,13.3,11.37
2012,3,14,24.0,2.51,84.83,1026.85,11.2,1.81,97.58
2012,3,15,25.59,21.35,74.66,995.97,12.85,10.13,22.97
2012,3,16,18.86,1.5,81.6,997.01,18.48,14.18,22.07
2012,3,17,28.88,21.52,40.16,984.37,4.45,7.79,0.0
2012,3,18,33.73,16.76,70.66,997.74,12.7,2.76,188.06
2012,3,19,19.48,8.46,48.21,994.4,12.09,11.78,0.0
2012,3,20,24.17,24.15,87.91,1027.33,18.91,10.26,177.6
2012,3,21,11.76,14.65,50.11,1044.24,13.13,14.51,0.0
2012,3,22,31.64,29.71,78.04,1011.31,5.89,4.63,195.25
2012,3,23,21.87,8.97,71.31,1012.66,18.77,7.98,40.58
2012,3,24,14.63,7.65,73.92,1038.96,18.39,8.88,139.32
2012,3,25,7.6,13.7,98.2,1038.83,4.69,7.01,116.91
2012,3,26,14.39,0.14,82.8,984.11,7.19,14.06,34.22
2012,3,27,13.74,29.43,62.73,1031.02,7.58,13.32,48.39
2012,3,28,23.22,20.46,43.22,1016.73,2.78,3.82,0.0
2012,3,29,30.12,26.07,54.33,1018.99,6.34,9.79,0.0
2012,3,30,34.87,0.96,94.65,1028.78,4.97,14.85,41.62
2012,3,31,32.72,8.02,58.03,983.21,9.77,4.81,0.0
2012,4,1,6.07,15.69,82.23,993.33,6.84,11.41,153.73
2012,4,2,1.92,14.62,73.44,1020.97,14.62,3.23,161.33
2012,4,3,20.27,4.09,71.76,997.56,17.09,13.65,157.72
2012,4,4,30.33,0.5,32.87,1019.88,16.43,4.93,0.0
2012,4,5,25.1,25.46,68.94,1013.33,18.83,7.31,102.27
2012,4,6,21.43,9.55,86.33,980.12,1.48,3.89,132.88
2012,4,7,6.24,3.13,58.27,986.76,17.31,3.88,0.0
2012,4,8,9.18,23.47,38.76,1008.25,15.19,6.28,0.0
2012,4,9,34.08,25.77,31.36,1028.68,6.73,11.27,0.0
2012,4,10,13.39,8.51,93.29,1039.99,15.0,7.28,74.76
2012,4,11,25.03,1.04,93.92,989.08,2.45,7.44,45.34
2012,4,12,10.28,13.87,70.16,1050.0,13.34,13.11,103.86
2012,4,13,24.97,4.88,95.07,985.38,13.42,4.61,101.34
2012,4,14,10.55,17.43,70.92,1009.59,4.66,7.01,109.98
2012,4,15,23.59,24.12,55.76,1047.08,19.07,10.92,0.0
2012,4,16,32.37,19.78,41.18,1047.61,11.64,7.69,0.0
2012,4,17,34.81,9.24,55.72,1029.72,5.64,11.46,0.0
2012,4,18,29.12,18.21,95.15,1021.15,4.66,5.13,47.57
2012,4,19,10.82,20.43,58.8,1029.87,10.18,14.48,0.0
2012,4,20,5.72,4.89,51.51,1009.99,1.07,7.58,0.0
2012,4,21,4.79,13.54,48.63,986.6,9.22,2.26,0.0
2012,4,22,23.79,1.38,92.99,980.19,4.91,11.62,95.99
2012,4,23,11.88,2.06,85.23,980.96,17.95,11.31,104.84
2012,4,24,3.9,18.3,48.18,1028.1,18.19,3.43,0.0
2012,4,25,34.84,13.07,96.52,1044.5,16.47,9.05,17.98
2012,4,26,9.63,22.91,57.63,1040.76,5.41,0.98,0.0
2012,4,27,9.83,12.72,58.52,1002.23,19.56,1.4,0.0
2012,4,28,10.71,12.45,49.49,993.43,18.76,5.36,0.0
2012,4,29,11.45,9.63,68.71,1010.57,10.87,6.61,174.49
2012,4,30,24.29,26.41,74.91,1015.11,3.28,5.77,188.78
2012,5,1,9.73,17.08,67.77,1028.32,15.96,10.46,10.03
2012,5,2,27.76,16.27,49.0,1019.83,1.07,6.21,0.0
2012,5,3,22.16,11.42,48.22,1043.86,14.43,0.62,0.0
2012,5,4,33.52,23.23,59.5,1014.3,12.23,8.14,0.0
2012,5,5,16.7,20.37,49.23,1048.38,1.05,6.44,0.0
2012,5,6,24.47,3.53,49.99,985.76,11.78,3.4,0.0
2012,5,7,23.74,9.12,75.52,991.55,2.18,6.15,174.0
2012,5,8,8.0,23.3,47.69,985.31,11.07,3.79,0.0
2012,5,9,14.49,6.93,45.85,1045.58,8.61,10.67,0.0
2012,5,10,15.61,20.35,92.57,995.01,2.99,5.19,95.72
2012,5,11,32.96,11.4,52.94,994.24,17.02,8.72,0.0
2012,5,12,30.54,18.17,93.63,997.99,6.44,4.04,61.31
2012,5,13,18.39,9.7,65.1,1047.03,17.57,12.07,40.65
2012,5,14,33.01,8.73,89.16,1021.1,9.82,11.25,139.53
2012,5,15,8.7,15.2,50.03,981.92,14.97,6.07,0.0
2012,5,16,9.27,7.55,73.9,1039.29,15.12,3.96,79.54
2012,5,17,31.2,0.39,90.21,1042.19,11.75,3.74,144.43
2012,5,18,20.15,27.75,33.16,1045.51,7.69,8.07,0.0
2012,5,19,7.84,4.04,52.65,982.17,13.04,12.27,0.0
2012,5,20,5.0,26.31,89.58,1024.87,11.93,4.2,75.29
2012,5,21,12.3,24.06,76.28,984.26,13.78,10.43,27.83
2012,5,22,31.35,15.15,64.1,998.36,1.7,13.43,14.69
2012,5,23,7.42,12.17,51.08,980.55,8.62,2.46,0.0
2012,5,24,13.67,5.89,58.57,991.86,7.03,6.64,0.0
2012,5,25,3.28,10.63,56.51,1008.05,11.6,11.76,0.0
2012,5,26,0.83,7.53,95.2,1036.69,18.78,2.64,143.29
2012,5,27,31.42,28.77,71.72,1036.21,3.49,12.6,140.78
2012,5,28,18.17,4.33,90.5,987.74,6.49,3.01,91.3
2012,5,29,2.17,8.11,60.36,1040.21,17.5,6.27,107.99
2012,5,30,8.46,1.79,52.35,982.98,9.51,1.35,0.0
2012,5,31,1.11,11.26,40.34,1038.17,3.72,7.23,0.0
2012,6,1,30.42,21.14,45.93,991.01,2.97,13.98,0.0
2012,6,2,10.96,13.78,49.45,1048.07,9.28,9.84,0.0
2012,6,3,23.35,1.11,42.49,986.11,5.03,1.06,0.0
2012,6,4,30.23,4.33,55.81,1034.23,13.43,12.62,0.0
2012,6,5,14.83,14.41,45.14,990.43,9.07,5.1,0.0
2012,6,6,31.05,11.77,96.04,1022.87,16.39,0.07,8.51
2012,6,7,28.64,13.51,72.8,1014.54,3.9,14.93,124.03
2012,6,8,11.62,7.46,50.57,1025.19,4.36,0.21,0.0
2012,6,9,21.91,12.09,42.71,998.03,18.28,10.9,0.0
2012,6,10,32.21,16.93,67.76,1021.46,13.57,0.67,43.8
2012,6,11,27.53,26.39,93.28,1018.37,12.0,7.25,33.0
2012,6,12,28.32,27.28,87.94,1015.0,11.08,2.41,22.28
2012,6,13,5.24,6.08,78.97,1021.32,6.71,9.26,16.55
2012,6,14,28.95,17.46,48.26,993.44,19.16,0.67,0.0
2012,6,15,28.74,21.96,30.91,983.97,16.89,1.67,0.0
2012,6,16,9.79,5.81,99.11,981.15,5.37,7.94,169.7
2012,6,17,13.13,16.56,49.48,1011.9,9.28,5.78,0.0
2012,6,18,29.23,20.87,72.24,1014.56,18.48,4.06,133.16
2012,6,19,17.07,10.12,71.01,1014.25,9.79,1.66,118.26
2012,6,20,18.17,8.81,49.37,1018.32,15.73,10.43,0.0
2012,6,21,24.58,0.65,90.61,1024.5,17.74,12.32,95.19
2012,6,22,10.2,29.97,95.37,989.9,7.0,1.43,151.98
2012,6,23,34.16,6.19,43.75,1029.35,19.63,5.91,0.0
2012,6,24,10.09,21.93,93.53,1007.86,10.58,11.51,66.63
2012,6,25,6.21,2.74,65.68,983.23,16.64,8.24,119.17
2012,6,26,18.99,24.07,55.16,1034.89,18.3,14.07,0.0
2012,6,27,4.38,5.19,89.36,1010.46,8.2,13.56,55.79
2012,6,28,24.68,7.99,60.35,993.97,8.09,12.31,104.86
2012,6,29,33.08,20.38,77.7,988.76,18.86,4.01,99.3
2012,6,30,19.1,10.5,50.52,1002.78,3.17,11.64,0.0
2012,7,1,20.54,19.87,90.79,1010.38,11.92,12.88,116.29
2012,7,2,3.26,8.42,84.17,989.69,9.6,4.92,39.08
2012,7,3,10.42,12.02,37.14,990.89,12.91,10.3,0.0
2012,7,4,29.98,12.53,50.97,982.5,1.4,1.79,0.0
2012,7,5,14.55,1.39,82.04,982.65,12.33,9.78,154.57
2012,7,6,29.06,0.65,88.9,1024.09,3.62,7.32,34.25
2012,7,7,18.37,16.71,87.59,1035.0,10.97,8.57,186.96
2012,7,8,18.28,10.08,58.06,1001.84,2.35,3.26,0.0
2012,7,9,7.09,7.3,36.1,1042.77,1.25,12.22,0.0
2012,7,10,30.94,8.67,50.22,982.72,2.27,11.77,0.0
2012,7,11,15.88,28.5,47.13,1016.04,17.93,3.6,0.0
2012,7,12,9.73,11.84,98.61,997.21,4.25,2.09,183.94
2012,7,13,18.9,5.55,36.6,1020.32,9.99,12.32,0.0
2012,7,14,3.09,8.91,85.43,995.08,9.38,13.75,172.82
2012,7,15,18.27,18.59,78.06,1005.03,17.2,7.62,12.0
2012,7,16,34.38,9.18,81.2,1032.23,15.15,4.0,156.59
2012,7,17,19.5,22.99,55.18,1005.08,9.68,6.43,0.0
2012,7,18,6.77,14.3,33.21,989.28,1.91,0.08,0.0
2012,7,19,26.73,21.35,94.67,1033.61,15.71,0.22,17.47
2012,7,20,10.68,25.14,34.69,1006.98,1.2,4.3,0.0
2012,7,21,21.13,17.04,35.73,1037.48,11.52,3.06,0.0
2012,7,22,26.95,8.88,72.74,984.35,5.42,1.67,1.86
2012,7,23,2.06,18.59,50.15,1005.64,17.35,7.1,0.0
2012,7,24,25.92,25.38,93.54,996.18,7.78,14.92,159.54
2012,7,25,29.82,24.44,86.45,1006.56,12.14,9.7,79.39
2012,7,26,9.07,7.61,51.71,1042.5,14.97,0.65,0.0
2012,7,27,31.13,10.37,62.46,1043.69,11.35,5.06,130.34
2012,7,28,1.12,27.73,69.32,1006.89,13.74,14.93,134.14
2012,7,29,20.5,12.91,78.52,1010.32,14.31,8.45,166.62
2012,7,30,13.6,2.73,90.55,1033.8,16.41,9.62,97.45
2012,7,31,9.74,23.71,72.4,1045.46,10.68,5.35,42.64
2012,8,1,0.37,1.25,43.44,1026.57,15.11,14.98,0.0
2012,8,2,7.56,1.29,47.02,1013.14,7.18,0.85,0.0
2012,8,3,13.67,7.59,68.51,1042.57,11.15,8.3,101.4
2012,8,4,30.64,14.28,55.4,987.57,2.96,13.7,0.0
2012,8,5,6.88,23.1,76.97,1040.16,17.27,7.96,39.55
2012,8,6,16.13,22.56,84.11,1001.67,15.8,2.68,188.05
2012,8,7,3.58,2.35,33.83,1020.89,18.62,13.23,0.0
2012,8,8,21.29,22.75,57.52,1018.28,19.2,3.07,0.0
2012,8,9,11.71,17.73,88.53,1008.49,15.68,13.93,176.82
2012,8,10,32.75,4.7,92.41,1045.24,16.09,7.4,106.03
2012,8,11,20.96,27.81,67.53,992.89,11.61,11.1,192.99
2012,8,12,9.42,5.7,84.11,1025.33,6.21,9.13,166.17
2012,8,13,25.5,20.49,82.16,1050.0,19.75,8.08,42.06
2012,8,14,28.53,12.92,74.97,995.02,2.77,5.02,82.67
2012,8,15,18.16,28.71,62.57,1039.89,7.34,10.23,84.91
2012,8,16,16.12,12.57,60.58,1043.93,4.11,0.49,158.61
2012,8,17,19.72,9.77,63.05,1029.36,7.84,5.23,8.08
2012,8,18,31.43,7.47,58.67,1020.92,13.72,2.3,0.0
2012,8,19,6.51,22.0,99.34,995.69,3.63,5.24,70.79
2012,8,20,6.48,3.6,78.45,1029.9,10.85,12.23,192.66
2012,8,21,12.78,9.38,37.82,1016.36,8.63,12.26,0.0
2012,8,22,9.91,9.83,47.65,999.59,14.05,9.22,0.0
2012,8,23,11.0,5.17,35.41,1047.14,14.69,4.47,0.0
2012,8,24,16.84,28.04,93.88,999.92,7.66,5.55,106.11
2012,8,25,8.25,5.14,99.15,982.75,19.21,7.51,66.38
2012,8,26,31.46,29.49,88.81,1023.82,16.88,5.49,80.61
2012,8,27,32.94,15.63,98.1,1042.44,11.78,5.69,191.5
2012,8,28,29.12,11.56,85.08,1031.03,19.68,8.23,171.41
2012,8,29,19.76,4.46,30.77,1049.93,13.57,6.02,0.0
2012,8,30,24.3,10.72,99.46,1025.43,10.52,13.02,141.25
2012,8,31,19.39,8.52,33.71,1014.18,11.23,10.49,0.0
2012,9,1,23.98,0.17,80.67,1004.74,1.77,3.64,100.62
2012,9,2,2.37,12.18,59.57,999.8,3.7,7.11,0.0
2012,9,3,9.98,11.69,33.28,1032.73,14.1,4.26,0.0
2012,9,4,1.93,2.51,81.46,1006.15,3.68,2.36,88.54
2012,9,5,26.23,13.38,95.31,1036.4,3.41,1.97,34.19
2012,9,6,1.53,6.84,80.92,1008.2,5.18,4.58,187.24
2012,9,7,6.83,7.86,51.7,996.64,2.86,10.51,0.0
2012,9,8,30.44,6.64,34.79,1028.08,18.81,11.17,0.0
2012,9,9,3.02,21.95,54.91,1041.19,9.38,8.62,0.0
2012,9,10,3.03,11.55,68.36,1014.49,9.63,3.87,104.7
2012,9,11,8.31,20.82,99.42,1031.11,16.35,1.34,46.94
2012,9,12,16.14,27.73,87.7,1041.85,5.28,13.08,91.76
2012,9,13,16.29,18.22,70.15,1040.71,15.02,3.14,43.49
2012,9,14,16.09,29.53,98.05,1027.46,1.25,6.7,79.37
2012,9,15,8.39,4.97,36.32,1040.61,19.42,12.08,0.0
2012,9,16,24.08,10.94,38.73,1020.5,16.62,11.47,0.0
2012,9,17,1.22,13.62,94.23,1036.38,2.78,2.23,10.37
2012,9,18,34.82,14.91,89.57,1013.83,5.28,8.97,147.87
2012,9,19,1.46,6.76,57.83,1045.95,2.89,7.9,0.0
2012,9,20,31.43,19.05,48.25,1033.1,16.02,11.97,0.0
2012,9,21,28.99,4.91,62.59,1003.25,14.86,1.6,17.37
2012,9,22,24.48,6.45,55.04,1032.72,7.9,13.26,0.0
2012,9,23,19.31,4.0,42.13,1012.94,8.01,1.41,0.0
2012,9,24,31.58,18.17,88.87,984.89,8.96,13.36,45.15
2012,9,25,6.27,2.12,94.21,1021.26,5.13,5.1,93.43
2012,9,26,14.84,21.45,41.3,988.99,7.65,2.54,0.0
2012,9,27,6.74,16.82,74.23,1010.35,1.68,12.03,6.08
2012,9,28,4.8,12.36,52.59,1049.13,3.69,4.1,0.0
2012,9,29,0.83,9.22,51.22,1040.56,1.23,14.1,0.0
2012,9,30,17.64,20.72,82.42,1015.4,6.55,8.55,106.65
2012,10,1,14.95,10.86,91.06,1014.78,1.3,3.12,1.25
2012,10,2,8.58,11.6,39.43,1002.6,12.08,4.47,0.0
2012,10,3,28.51,12.94,41.92,991.5,18.29,4.37,0.0
2012,10,4,0.37,4.58,31.58,985.04,12.39,2.96,0.0
2012,10,5,15.53,0.66,79.04,1033.45,13.57,13.89,121.68
2012,10,6,24.29,7.26,88.67,984.03,18.7,11.4,74.32
2012,10,7,29.29,3.82,60.92,981.82,9.61,2.8,160.16
2012,10,8,30.6,26.85,81.85,1022.78,19.88,3.17,175.52
2012,10,9,3.19,1.48,78.42,997.85,13.17,8.13,146.18
2012,10,10,15.84,5.09,78.37,1041.13,5.61,10.88,192.97
2012,10,11,34.95,3.67,81.31,1004.95,2.12,2.33,25.07
2012,10,12,30.35,2.41,37.86,980.92,6.32,14.36,0.0
2012,10,13,8.56,27.12,67.0,1043.47,12.02,11.35,176.29
2012,10,14,29.92,22.01,30.23,1003.91,15.63,2.06,0.0
2012,10,15,17.66,9.64,62.01,1049.46,9.58,2.83,45.89
2012,10,16,15.52,19.86,79.8,1032.09,4.97,5.04,196.16
2012,10,17,5.35,7.24,95.05,1039.88,16.09,2.15,134.78
2012,10,18,7.42,8.4,44.81,1035.21,13.57,10.45,0.0
2012,10,19,33.91,0.17,65.43,1011.31,14.26,6.01,58.08
2012,10,20,21.98,15.67,49.51,982.01,12.39,6.8,0.0
2012,10,21,19.37,23.67,96.62,998.18,8.61,6.26,63.12
2012,10,22,6.24,15.92,78.52,992.19,9.47,3.35,146.08
2012,10,23,30.47,20.37,43.29,1048.6,15.88,13.87,0.0
2012,10,24,7.11,16.54,62.84,998.99,2.15,13.37,167.07
2012,10,25,4.92,5.63,76.04,1017.37,6.27,13.04,65.32
2012,10,26,34.19,11.68,38.65,1040.9,2.96,4.47,0.0
2012,10,27,24.18,25.82,67.17,989.63,2.16,0.97,22.62
2012,10,28,22.61,12.32,53.37,995.94,9.52,10.55,0.0
2012,10,29,11.18,25.19,34.53,1031.02,14.47,14.91,0.0
2012,10,30,28.42,16.9,40.57,1045.95,14.79,14.39,0.0
2012,10,31,4.99,2.24,66.87,999.74,12.46,13.78,26.64
2012,11,1,3.15,6.18,52.41,999.09,15.61,12.77,0.0
2012,11,2,13.3,15.25,94.17,1049.87,18.43,8.35,119.94
2012,11,3,21.16,8.05,85.76,1008.55,15.06,2.95,140.37
2012,11,4,5.38,18.75,85.48,1011.99,6.98,10.97,65.54
2012,11,5,17.94,2.06,44.24,1030.38,8.08,5.85,0.0
2012,11,6,22.69,1.8,87.07,986.46,14.04,1.96,168.72
2012,11,7,1.48,13.24,48.05,990.53,6.21,9.43,0.0
2012,11,8,26.63,12.89,61.17,1046.13,1.58,8.62,195.94
2012,11,9,18.9,18.95,39.42,1032.13,13.63,9.1,0.0
2012,11,10,8.53,19.52,92.24,1025.05,12.58,14.93,127.9
2012,11,11,14.4,0.16,98.58,982.91,13.46,13.63,146.8
2012,11,12,14.52,24.87,82.22,1041.17,14.43,5.22,165.0
2012,11,13,13.98,26.75,79.23,987.6,6.44,5.05,48.01
2012,11,14,29.14,28.32,35.6,1045.02,15.42,14.89,0.0
2012,11,15,4.5,7.91,35.24,1040.71,12.3,14.22,0.0
2012,11,16,12.59,9.52,72.18,989.62,13.59,5.78,147.02
2012,11,17,28.75,21.81,40.38,998.61,13.5,8.51,0.0
2012,11,18,18.56,16.86,41.52,1049.86,16.7,8.51,0.0
2012,11,19,6.31,14.74,42.51,1033.05,11.92,6.99,0.0
2012,11,20,4.6,15.93,47.77,1020.36,12.29,7.43,0.0
2012,11,21,23.7,23.4,99.75,1014.85,5.69,13.54,18.69
2012,11,22,25.11,13.74,54.33,1028.61,9.95,11.81,0.0
2012,11,23,8.92,22.25,59.86,1015.02,8.88,3.23,0.0
2012,11,24,15.58,11.54,57.74,988.73,2.8,13.74,0.0
2012,11,25,17.03,5.84,98.15,1022.35,13.42,14.96,36.5
2012,11,26,5.31,28.1,52.93,985.08,11.22,7.97,0.0
2012,11,27,17.65,14.34,31.22,994.75,9.8,14.33,0.0
2012,11,28,33.62,27.46,99.89,1040.5,10.11,8.33,45.58
2012,11,29,33.55,22.05,55.43,987.95,10.95,1.5,0.0
2012,11,30,1.93,17.45,31.36,986.09,19.85,11.08,0.0
2012,12,1,9.47,21.35,83.72,1019.33,2.11,11.61,159.4
2012,12,2,2.89,8.02,95.89,991.73,10.86,5.21,31.91
2012,12,3,0.35,18.34,39.65,1001.94,6.25,0.31,0.0
2012,12,4,11.56,2.39,39.82,1031.25,12.24,8.2,0.0
2012,12,5,31.33,21.26,85.06,1034.45,6.2,6.61,148.57
2012,12,6,7.73,26.38,37.04,1005.4,5.56,6.33,0.0
2012,12,7,23.06,25.79,49.27,998.94,19.55,12.35,0.0
2012,12,8,10.1,26.87,94.92,1001.71,6.27,14.05,134.24
2012,12,9,27.95,20.04,74.69,1028.97,11.23,3.85,153.16
2012,12,10,14.37,26.42,32.53,1025.67,13.07,6.0,0.0
2012,12,11,1.39,26.29,88.37,1018.68,3.59,8.1,79.11
2012,12,12,24.18,3.77,48.33,1043.72,1.56,14.26,0.0
2012,12,13,22.96,25.26,38.36,1047.23,15.18,13.6,0.0
2012,12,14,33.56,3.39,75.65,1016.81,15.2,14.01,63.62
2012,12,15,23.43,18.39,53.51,989.44,10.3,4.83,0.0
2012,12,16,22.81,7.03,66.18,1001.75,12.43,11.39,131.28
2012,12,17,31.4,11.77,69.25,982.8,10.62,1.6,33.65
2012,12,18,0.79,7.58,72.24,1001.83,3.07,1.65,120.96
2012,12,19,22.98,16.42,84.51,990.95,18.56,4.05,146.71
2012,12,20,26.68,0.93,67.42,1046.69,15.5,2.32,117.57
2012,12,21,5.06,17.04,43.28,1008.21,13.16,13.91,0.0
2012,12,22,26.4,11.26,73.03,1046.37,5.71,5.54,144.29
2012,12,23,7.45,21.46,70.42,1035.1,3.03,0.86,175.41
2012,12,24,15.05,21.43,82.11,1034.54,10.91,4.84,3.94
2012,12,25,33.79,15.89,65.42,1036.3,12.77,11.96,135.05
2012,12,26,18.07,24.99,52.38,1006.46,19.84,4.26,0.0
2012,12,27,6.67,14.92,80.39,988.72,2.08,0.9,192.25
2012,12,28,12.55,16.65,32.3,990.61,8.0,6.04,0.0
2012,12,29,33.46,23.64,92.37,1043.82,5.83,12.07,60.8
2012,12,30,10.83,20.62,56.42,1042.58,12.81,3.14,0.0
2012,12,31,18.93,3.75,47.22,1000.69,6.12,11.89,0.0
2013,1,1,27.91,24.53,53.94,1044.64,5.15,6.42,0.0
2013,1,2,30.44,8.94,57.55,1010.04,17.59,11.6,0.0
2013,1,3,4.31,25.26,83.23,1023.04,13.07,12.38,169.61
2013,1,4,12.17,3.15,43.79,987.66,17.35,4.74,0.0
2013,1,5,18.33,11.44,53.98,1022.2,4.48,7.28,0.0
2013,1,6,33.29,11.67,30.09,983.07,17.65,14.74,0.0
2013,1,7,12.95,8.2,32.94,1021.15,3.9,11.22,0.0
2013,1,8,16.68,12.13,99.39,1014.73,19.69,8.66,118.82
2013,1,9,0.55,10.71,84.81,1019.93,14.78,11.07,24.06
2013,1,10,1.68,18.25,73.17,1006.69,1.65,0.14,50.07
2013,1,11,12.71,14.98,83.47,1046.96,1.37,14.07,71.11
2013,1,12,22.53,1.49,37.88,1006.68,10.24,0.48,0.0
2013,1,13,11.52,25.67,77.77,985.45,7.91,0.41,112.71
2013,1,14,15.05,28.43,32.15,1004.72,2.13,13.41,0.0
2013,1,15,32.72,26.04,59.86,1019.06,14.52,14.33,0.0
2013,1,16,27.77,7.0,67.19,1034.54,17.1,4.75,9.85
2013,1,17,12.64,19.93,64.39,1040.79,9.97,13.93,5.69
2013,1,18,17.15,8.41,39.28,1002.3,3.43,1.45,0.0
2013,1,19,20.55,19.5,86.44,1017.23,3.07,12.7,60.94
2013,1,20,21.81,24.62,71.36,1000.85,4.39,5.66,125.34
2013,1,21,9.7,2.57,69.2,1018.57,15.55,13.46,131.93
2013,1,22,12.77,16.4,44.16,1043.65,17.14,7.85,0.0
2013,1,23,16.3,15.69,84.48,985.43,7.05,11.93,6.88
2013,1,24,8.71,27.45,74.81,989.95,14.68,14.27,19.86
